"Datum";"Coronatrend";"Bundesland";"BL_ID"
"2020-03-28";53;"Schleswig-Holstein";1
"2020-03-29";50;"Schleswig-Holstein";1
"2020-03-30";47;"Schleswig-Holstein";1
"2020-03-31";44;"Schleswig-Holstein";1
"2020-04-01";44;"Schleswig-Holstein";1
"2020-04-02";42;"Schleswig-Holstein";1
"2020-04-03";41;"Schleswig-Holstein";1
"2020-04-04";41;"Schleswig-Holstein";1
"2020-04-05";42;"Schleswig-Holstein";1
"2020-04-06";40;"Schleswig-Holstein";1
"2020-04-07";36;"Schleswig-Holstein";1
"2020-04-08";35;"Schleswig-Holstein";1
"2020-04-09";37;"Schleswig-Holstein";1
"2020-04-10";32;"Schleswig-Holstein";1
"2020-04-11";32;"Schleswig-Holstein";1
"2020-04-12";32;"Schleswig-Holstein";1
"2020-04-13";35;"Schleswig-Holstein";1
"2020-04-14";33;"Schleswig-Holstein";1
"2020-04-15";54;"Schleswig-Holstein";1
"2020-04-16";40;"Schleswig-Holstein";1
"2020-04-17";34;"Schleswig-Holstein";1
"2020-04-18";32;"Schleswig-Holstein";1
"2020-04-19";31;"Schleswig-Holstein";1
"2020-04-20";29;"Schleswig-Holstein";1
"2020-04-21";28;"Schleswig-Holstein";1
"2020-04-22";27;"Schleswig-Holstein";1
"2020-04-23";29;"Schleswig-Holstein";1
"2020-04-24";28;"Schleswig-Holstein";1
"2020-04-25";28;"Schleswig-Holstein";1
"2020-04-26";29;"Schleswig-Holstein";1
"2020-04-27";25;"Schleswig-Holstein";1
"2020-04-28";29;"Schleswig-Holstein";1
"2020-04-29";29;"Schleswig-Holstein";1
"2020-04-30";30;"Schleswig-Holstein";1
"2020-05-01";25;"Schleswig-Holstein";1
"2020-05-02";25;"Schleswig-Holstein";1
"2020-05-03";28;"Schleswig-Holstein";1
"2020-05-04";28;"Schleswig-Holstein";1
"2020-05-05";28;"Schleswig-Holstein";1
"2020-05-06";36;"Schleswig-Holstein";1
"2020-05-07";36;"Schleswig-Holstein";1
"2020-05-08";28;"Schleswig-Holstein";1
"2020-05-09";26;"Schleswig-Holstein";1
"2020-05-10";26;"Schleswig-Holstein";1
